id,year,team1,score1,score2,team2
0,1950,Brazil,4,0,Mexico
1,1950,Yugoslavia,3,0,Switzerland
2,1950,Brazil,2,2,Switzerland
3,1950,Yugoslavia,4,1,Mexico
4,1950,Brazil,2,0,Yugoslavia
5,1950,Switzerland,2,1,Mexico
6,1950,England,2,0,Chile
7,1950,Spain,3,1,United States
8,1950,Spain,2,0,Chile
9,1950,United States,1,0,England
10,1950,Spain,1,0,England
11,1950,Chile,5,2,United States
12,1950,Sweden,3,2,Italy
13,1950,Sweden,2,2,Paraguay
14,1950,Italy,2,0,Paraguay
15,1950,Uruguay,8,0,Bolivia
16,1950,Uruguay,2,2,Spain
17,1950,Brazil,7,1,Sweden
18,1950,Brazil,6,1,Spain
19,1950,Uruguay,3,2,Sweden
20,1950,Sweden,3,1,Spain
21,1950,Uruguay,2,1,Brazil
22,1954,Brazil,5,0,Mexico
23,1954,Yugoslavia,1,0,France
24,1954,Brazil,1,1,Yugoslavia
25,1954,France,3,2,Mexico
26,1954,West Germany,4,1,Turkey
27,1954,Hungary,9,0,South Korea
28,1954,Hungary,8,3,West Germany
29,1954,Turkey,7,0,South Korea
30,1954,West Germany,7,2,Turkey
31,1954,Uruguay,2,0,Czechoslovakia
32,1954,Austria,1,0,Scotland
33,1954,Uruguay,7,0,Scotland
34,1954,Austria,5,0,Czechoslovakia
35,1954,Switzerland,2,1,Italy
36,1954,England,4,4,Belgium
37,1954,Italy,4,1,Belgium
38,1954,England,2,0,Switzerland
39,1954,Switzerland,4,1,Italy
40,1954,Austria,7,5,Switzerland
41,1954,Uruguay,4,2,England
42,1954,Brazil,2,4,Hungary
43,1954,Yugoslavia,0,2,West Germany
44,1954,Hungary,4,2,Uruguay
45,1954,West Germany,6,1,Austria
46,1954,Uruguay,1,3,Austria
47,1954,Hungary,2,3,West Germany
48,1958,West Germany,3,1,Argentina
49,1958,Northern Ireland,1,0,Czechoslovakia
50,1958,Argentina,3,1,Northern Ireland
51,1958,West Germany,2,2,Czechoslovakia
52,1958,West Germany,2,2,Northern Ireland
53,1958,Czechoslovakia,6,1,Argentina
54,1958,Northern Ireland,2,1,Czechoslovakia
55,1958,France,7,3,Paraguay
56,1958,Yugoslavia,1,1,Scotland
57,1958,Yugoslavia,3,2,France
58,1958,Paraguay,3,2,Scotland
59,1958,France,2,1,Scotland
60,1958,Paraguay,3,3,Yugoslavia
61,1958,Sweden,3,0,Mexico
62,1958,Hungary,1,1,Wales
63,1958,Mexico,1,1,Wales
64,1958,Sweden,2,1,Hungary
65,1958,Sweden,0,0,Wales
66,1958,Hungary,4,0,Mexico
67,1958,Wales,2,1,Hungary
68,1958,Brazil,3,0,Austria
69,1958,Soviet Union,2,2,England
70,1958,Brazil,0,0,England
71,1958,Soviet Union,2,0,Austria
72,1958,England,2,2,Austria
73,1958,Brazil,2,0,Soviet Union
74,1958,Soviet Union,1,0,England
75,1958,France,4,0,Northern Ireland
76,1958,Sweden,2,0,Soviet Union
77,1958,Brazil,1,0,Wales
78,1958,West Germany,1,0,Yugoslavia
79,1958,France,2,5,Brazil
80,1958,West Germany,1,3,Sweden
81,1958,West Germany,3,6,France
82,1958,Sweden,2,5,Brazil
83,1962,Uruguay,2,1,Colombia
84,1962,Soviet Union,2,0,Yugoslavia
85,1962,Yugoslavia,3,1,Uruguay
86,1962,Soviet Union,4,4,Colombia
87,1962,Soviet Union,2,1,Uruguay
88,1962,Yugoslavia,5,0,Colombia
89,1962,Chile,3,1,Switzerland
90,1962,West Germany,0,0,Italy
91,1962,Chile,2,0,Italy
92,1962,West Germany,2,1,Switzerland
93,1962,West Germany,2,0,Chile
94,1962,Italy,3,0,Switzerland
95,1962,Brazil,2,0,Mexico
96,1962,Czechoslovakia,1,0,Spain
97,1962,Brazil,0,0,Czechoslovakia
98,1962,Spain,1,0,Mexico
99,1962,Brazil,2,1,Spain
100,1962,Mexico,3,1,Czechoslovakia
101,1962,Argentina,1,0,Bulgaria
102,1962,Hungary,2,1,England
103,1962,England,3,1,Argentina
104,1962,Hungary,6,1,Bulgaria
105,1962,Hungary,0,0,Argentina
106,1962,England,0,0,Bulgaria
107,1962,Chile,2,1,Soviet Union
108,1962,Czechoslovakia,1,0,Hungary
109,1962,Brazil,3,1,England
110,1962,Yugoslavia,1,0,West Germany
111,1962,Czechoslovakia,3,1,Yugoslavia
112,1962,Brazil,4,2,Chile
113,1962,Chile,1,0,Yugoslavia
114,1962,Brazil,3,1,Czechoslovakia
115,1966,England,0,0,Uruguay
116,1966,France,1,1,Mexico
117,1966,Uruguay,2,1,France
118,1966,England,2,0,Mexico
119,1966,Mexico,0,0,Uruguay
120,1966,England,2,0,France
121,1966,West Germany,5,0,Switzerland
122,1966,Argentina,2,1,Spain
123,1966,Spain,2,1,Switzerland
124,1966,Argentina,0,0,West Germany
125,1966,Argentina,2,0,Switzerland
126,1966,West Germany,2,1,Spain
127,1966,Brazil,2,0,Bulgaria
128,1966,Portugal,3,1,Hungary
129,1966,Hungary,3,1,Brazil
130,1966,Portugal,3,0,Bulgaria
131,1966,Portugal,3,1,Brazil
132,1966,Hungary,3,1,Bulgaria
133,1966,Soviet Union,3,0,North Korea
134,1966,Italy,2,0,Chile
135,1966,Chile,1,1,North Korea
136,1966,Soviet Union,1,0,Italy
137,1966,North Korea,1,0,Italy
138,1966,Soviet Union,2,1,Chile
139,1966,Portugal,5,3,North Korea
140,1966,West Germany,4,0,Uruguay
141,1966,Soviet Union,2,1,Hungary
142,1966,England,1,0,Argentina
143,1966,West Germany,2,1,Soviet Union
144,1966,England,2,1,Portugal
145,1966,Portugal,2,1,Soviet Union
146,1966,England,4,2,West Germany
147,1970,Mexico,0,0,Soviet Union
148,1970,Belgium,3,0,El Salvador
149,1970,Soviet Union,4,1,Belgium
150,1970,Mexico,4,0,El Salvador
151,1970,Soviet Union,2,0,El Salvador
152,1970,Mexico,1,0,Belgium
153,1970,Uruguay,2,0,Israel
154,1970,Italy,1,0,Sweden
155,1970,Uruguay,0,0,Italy
156,1970,Sweden,1,1,Israel
157,1970,Uruguay,0,1,Sweden
158,1970,Israel,0,0,Italy
159,1970,Romania,0,1,England
160,1970,Czechoslovakia,1,4,Brazil
161,1970,Romania,2,1,Czechoslovakia
162,1970,England,0,1,Brazil
163,1970,Romania,2,3,Brazil
164,1970,England,1,0,Czechoslovakia
165,1970,Peru,3,2,Bulgaria
166,1970,Morocco,1,2,West Germany
167,1970,Peru,3,0,Morocco
168,1970,Bulgaria,2,5,West Germany
169,1970,Peru,1,3,West Germany
170,1970,Bulgaria,1,1,Morocco
171,1970,Soviet Union,0,1,Uruguay
172,1970,Italy,4,1,Mexico
173,1970,Brazil,4,2,Peru
174,1970,West Germany,3,2,England
175,1970,Uruguay,1,3,Brazil
176,1970,Italy,4,3,West Germany
177,1970,Uruguay,0,1,West Germany
178,1970,Brazil,4,1,Italy
179,1974,West Germany,1,0,Chile
180,1974,East Germany,2,0,Australia
181,1974,Australia,0,3,West Germany
182,1974,Chile,1,1,East Germany
183,1974,Australia,0,0,Chile
184,1974,East Germany,1,0,West Germany
185,1974,Brazil,0,0,Yugoslavia
186,1974,Zaire,0,2,Scotland
187,1974,Yugoslavia,9,0,Zaire
188,1974,Scotland,0,0,Brazil
189,1974,Scotland,1,1,Yugoslavia
190,1974,Zaire,0,3,Brazil
191,1974,Uruguay,0,2,Netherlands
192,1974,Sweden,0,0,Bulgaria
193,1974,Uruguay,1,1,Bulgaria
194,1974,Netherlands,0,0,Sweden
195,1974,Netherlands,4,1,Bulgaria
196,1974,Sweden,3,0,Uruguay
197,1974,Italy,3,1,Haiti
198,1974,Poland,3,2,Argentina
